Family	Genus	Species	Log10(Body mass [g])	Body mass [g]	Log10(Brain mass [g])	Brain mass [g]	Log(EQ [Jerison, 1973])	EQ [Jerison, 1973]	Estimated age of last appearance (millions of years ago)	Reference for phenotypic data	Reference for phylogenetic position	Reference for age of last appearance	Notes
Kogiidae	Kogia	breviceps	5.523746467	334000.000	3.008174184	1019.000	0.228082805	1.691	0	Lefebvre et al. (2006)	McGowen (2011)	Extant	
Kogiidae	Kogia	sima	5.226599905	168500.000	2.793790385	622.000	0.212787203	1.632	0	Marino (1998); Manger (2006)	McGowen (2011)	Extant	
Physeteridae	Physeter	macrocephalus	7.573064902	37416650.043	3.912917858	8183.100	-0.240216872	0.575	0	Lefebvre et al. (2006)	McGowen (2011)	Extant	
Platanistidae	Platanista	gangetica	4.775464809	59630.000	2.463146137	290.500	0.184403469	1.529	0	Lefebvre et al. (2006)	McGowen (2011)	Extant	
Monodontidae	Delphinapterus	leucas	5.803457116	636000.001	3.318689270	2083.000	0.351191756	2.245	0	Marino et al. (2004); Lefebvre et al. (2006); Manger (2006)	McGowen (2011)	Extant	
Monodontidae	Monodon	monoceros	6.198197811	1578329.998	3.476208277	2993.700	0.244234498	1.755	0	Marino (1998); Manger (2006)	McGowen (2011)	Extant	
Phocoenidae	Phocoenoides	dalli	5.049218023	112000.000	2.938019097	867.000	0.475861776	2.991	0	Manger (2006)	McGowen (2011)	Extant	
Phocoenidae	Phocoena	phocoena	4.786041210	61100.000	2.698970004	500.000	0.413141147	2.589	0	Marino (1998)	McGowen (2011)	Extant	
Phocoenidae	Phocoena	spinipinnis	4.832776432	68041.900	2.775974331	597.000	0.458832876	2.876	0	Marino et al. (2004)	McGowen (2011)	Extant	
Phocoenidae	Neophocaena 	phocaenoides	4.510545010	32400.000	2.670245853	468.000	0.568999450	3.707	0	Manger (2006)	McGowen (2011)	Extant	
Delphinidae	Lagenorhynchus	acutus	5.388465330	244605.000	3.042642443	1103.170	0.353189426	2.255	0	Lefebvre et al. (2006)	McGowen (2011)	Extant	
Delphinidae	Lagenorhynchus	albirostris	4.829303773	67500.000	3.051538391	1126.000	0.736723617	5.454	0	Manger (2006)	McGowen (2011)	Extant	
Delphinidae	Lagenorhynchus	obliquidens	4.959279950	91050.000	3.059847301	1147.750	0.657948488	4.549	0	Lefebvre et al. (2006)	McGowen (2011)	Extant	
Delphinidae	Lagenorhynchus	obscurus	4.766956119	58473.100	2.947482737	886.100	0.674440891	4.725	0	Marino et al. (2004)	McGowen (2011)	Extant	
Delphinidae	Cephalorhynchus	commersonii	4.681241237	48000.000	2.860338007	725.000	0.644725132	4.413	0	Tarpley and Ridgway (1994)	McGowen (2011)	Extant	
Delphinidae	Cephalorhynchus	heavisidii	4.851258349	71000.000	2.882524538	763.000	0.553000198	3.573	0	Marino et al. (2004)	McGowen (2011)	Extant	
Delphinidae	Lissodelphis	borealis	4.863322860	73000.000	3.065206128	1162.000	0.727598566	5.341	0	Tarpley and Ridgway (1994)	McGowen (2011)	Extant	
Delphinidae	Grampus	griseus	5.602059991	400000.000	3.406710459	2551.000	0.574149019	3.751	0	Manger (2006)	McGowen (2011)	Extant	
Delphinidae	Pseudorca	crassidens	5.762825854	579196.400	3.545554507	3512.000	0.605279939	4.030	0	Marino et al. (2004)	McGowen (2011)	Extant	
Delphinidae	Globicephala	macrorhynchus	5.586587305	386000.000	3.391993072	2466.000	0.569798332	3.714	0	Tarpley and Ridgway (1994)	McGowen (2011)	Extant	
Delphinidae	Globicephala	melas	6.025715384	1061000.000	3.426998959	2673.000	0.310588406	2.045	0	Manger (2006)	McGowen (2011)	Extant	
Delphinidae	Steno	bredanensis	5.092829029	123830.900	3.188056208	1541.900	0.696679513	4.974	0	Marino et al. (2004)	McGowen (2011)	Extant	
Delphinidae	Stenella	clymene	4.934498451	86000.000	2.823474229	666.000	0.438179021	2.743	0	Marino et al. (2004)	McGowen (2011)	Extant	
Delphinidae	Stenella	coeruleoalba	5.112605002	129600.000	2.972850556	939.400	0.468223959	2.939	0	Marino et al. (2004); Lefebvre et al. (2006)	McGowen (2011)	Extant	
