"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","abund_value","abund_unit","lng","lat","paleomodel","paleolng","paleolat","geoplate"
"68135","occ","","","4868","n. gen. Georgiacetus n. sp. vogtlensis","species","63123","","Georgiacetus vogtlensis","species","63123","Lutetian","","47.8","41.3","289","","","-81.760559","33.143333","gp_mid","-61.49","35.55","109"
"137494","occ","","","11601","Argyrocetus joaquinensis","species","69897","","Argyrocetus joaquinensis","species","69897","Aquitanian","","23.03","20.44","4175","1","specimens","-118.848335","35.492779","gp_mid","-107.46","39.67","130"
"141404","occ","","","12121","n. gen. Kharthlidelphis n. sp. diceros","species","53161","nomen dubium","Odontoceti","suborder","42937","Chattian","","28.1","23.03","6018","2","specimens","43.548332","42.532780","gp_mid","44.11","37.53","511"
"147937","occ","","","13063","n. gen. Pinocetus n. sp. polonicus","species","53140","","Pinocetus polonicus","species","53140","Langhian","","15.97","13.82","4344","","","20.526388","50.520279","gp_mid","22.03","47.50","305"
"147938","occ","","","13064","n. gen. Basiloterus n. sp. hussaini","species","53165","","Basiloterus hussaini","species","53165","Bartonian","","41.3","38","6010","","","70.440559","30.787779","gp_mid","72.15","11.74","501"
"148079","occ","","","13078","n. gen. Sachalinocetus n. sp. cholmicus","species","63225","","Sachalinocetus cholmicus","species","63225","Early Miocene","Middle Miocene","23.03","11.608","4357","","","142.050003","47.049999","gp_mid","138.33","47.14","610"
"148335","occ","","","13090","n. gen. Praekogia n. sp. cedrosensis","species","53139","","Praekogia cedrosensis","species","53139","Messinian","","7.246","5.333","4361","","","-115.183334","28.366667","gp_mid","","",""
"148353","occ","","","13092","Aulophyseter n. sp. rionegrensis","species","53106","","Aulophyseter rionegrensis","species","53106","Messinian","","7.246","5.333","4362","","","-64.933334","-40.733334","gp_mid","-63.84","-40.48","291"
"148356","occ","","","13096","Microcetus n. sp. sharkovi","species","53137","","Microcetus sharkovi","species","53137","Chattian","","28.1","23.03","4365","1","specimens","51.431946","43.819443","gp_mid","51.39","38.98","402"
"148358","occ","","","13098","n. gen. Mixocetus n. sp. elysius","species","64432","","Mixocetus elysius","species","64432","Tortonian","","11.62","7.246","10152","","","-118.199448","34.083611","gp_mid","-114.35","35.74","105"
