"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"68135","occ","","","4868","Georgiacetus vogtlensis","species","63123","Lutetian","","47.8","41.3","289"
"137494","occ","","","11601","Argyrocetus joaquinensis","species","69897","Aquitanian","","23.03","20.44","4175"
"141404","occ","","","12121","Odontoceti","suborder","42937","Chattian","","28.1","23.03","6018"
"147937","occ","","","13063","Pinocetus polonicus","species","53140","Langhian","","15.97","13.82","4344"
"147938","occ","","","13064","Basiloterus hussaini","species","53165","Bartonian","","41.3","38","6010"
"148079","occ","","","13078","Sachalinocetus cholmicus","species","63225","Early Miocene","Middle Miocene","23.03","11.608","4357"
"148335","occ","","","13090","Praekogia cedrosensis","species","53139","Messinian","","7.246","5.333","4361"
"148353","occ","","","13092","Aulophyseter rionegrensis","species","53106","Messinian","","7.246","5.333","4362"
"148356","occ","","","13096","Microcetus sharkovi","species","53137","Chattian","","28.1","23.03","4365"
"148358","occ","","","13098","Mixocetus elysius","species","64432","Tortonian","","11.62","7.246","10152"
"148360","occ","","","13100","Austrosqualodon trirhizodonta","species","63212","Duntroonian","","27.3","25.2","4368"
"148363","occ","","","13102","Basilosaurus isis","species","62984","Priabonian","","38","33.9","6026"
"148364","occ","","","13102","Dorudon atrox","species","62994","Priabonian","","38","33.9","6026"
"148365","occ","19615","","13103","Dorudon atrox","species","62994","Priabonian","","38","33.9","10457"
"150826","occ","","","11596","Basilosaurus drazindai","species","53163","Bartonian","","41.3","38","6010"
"150827","occ","","","13103","Basilosaurus isis","species","62984","Priabonian","","38","33.9","6026"
"150828","occ","","","13402","Basilosaurus isis","species","62984","Priabonian","","38","33.9","6026"
"150829","occ","","","13402","Dorudon atrox","species","62994","Priabonian","","38","33.9","6026"
"150830","occ","","","13403","Basilosaurus isis","species","62984","Priabonian","","38","33.9","6026"
"150831","occ","","","13403","Dorudon atrox","species","62994","Priabonian","","38","33.9","6026"
"150833","occ","","","13405","Dorudon serratus","species","53155","Priabonian","","38","33.9","6032"
"150835","occ","26388","","13406","Basilosaurus drazindai","species","53163","Bartonian","","41.3","38","6010"
"150836","occ","","","13408","Thinocetus arthritus","species","53147","Serravallian","","13.82","11.62","6034"
"150841","occ","","","13407","Thinocetus arthritus","species","53147","Serravallian","","13.82","11.62","6034"
"150846","occ","","","13408","Halicetus ignotus","species","53149","Serravallian","","13.82","11.62","6034"
"150873","occ","18384","","13449","Cetacea","order","36652","Miocene","","23.03","5.333","12845"
"151444","occ","","","13488","Balaenoptera taiwanica","species","69157","Zanclean","","5.333","3.6","6103"
"151803","occ","","","13521","Cetacea","order","36652","Middle Eocene","Late Eocene","48.6","33.9","6123"
"187702","occ","","","18512","Pomatodelphis","genus","36819","Late Hemingfordian","","20.43","15.97","2614"
"188107","occ","","","18580","Parietobalaena palmeri","species","62938","Langhian","","15.97","13.82","55050"
"217636","occ","","","22221","Cetacea","order","36652","Zanclean","","5.333","3.6","5391"
"220169","occ","","","22712","Physeterula","genus","36808","Piacenzian","","3.6","2.588","5666"
"220170","occ","","","22712","Delphinidae","family","42953","Piacenzian","","3.6","2.588","5666"
"220173","occ","","","22712","Balaenidae","family","42978","Piacenzian","","3.6","2.588","5666"
"220174","occ","","","22712","Megaptera","genus","36760","Piacenzian","","3.6","2.588","5666"
"220183","occ","","","22712","Mysticeti","suborder","42971","Piacenzian","","3.6","2.588","5666"
"220758","occ","","","21917","Delphinidae","family","42953","Holocene","","0.0117","0","5234"
"220776","occ","","","21918","Delphinidae","family","42953","Holocene","","0.0117","0","5234"
"225773","occ","","","21922","Delphinidae","family","42953","Holocene","","0.0117","0","5236"
"225890","occ","","","21929","Delphinidae","family","42953","Pleistocene","","2.588","0.0117","5238"
"226041","occ","","","21952","Delphinidae","family","42953","Pleistocene","Holocene","2.588","0","5251"
"289579","occ","","","18549","Squalodon","genus","36852","Early Barstovian","","15.97","13.6","1145"
"297913","occ","","","28617","Neosqualodon assenzae","species","63423","Langhian","","15.97","13.82","24745"
"297914","occ","","","28617","Neosqualodon gastaldii","species","68324","Langhian","","15.97","13.82","28755"
"297915","occ","","","28617","Squalodon bariensis","species","63727","Langhian","","15.97","13.82","7898"
"297916","occ","","","28617","Squalodon dalpiazi","species","53166","Langhian","","15.97","13.82","7898"
"300637","occ","","","28938","Andrewsiphius sloani","species","63120","Lutetian","","47.8","41.3","7933"
"300638","occ","","","28938","Remingtonocetus domandaensis","species","53239","Lutetian","","47.8","41.3","7933"
"300639","occ","","","28938","Dalanistes ahmedi","species","53241","Lutetian","","47.8","41.3","7933"
"300803","occ","","","28972","Takracetus simus","species","53298","Lutetian","","47.8","41.3","7939"
"300804","occ","","","28973","Rodhocetus kasranii","species","53296","Lutetian","","47.8","41.3","7939"
"300805","occ","","","28974","Gaviacetus razai","species","53299","Lutetian","","47.8","41.3","7939"
"300806","occ","","","28974","Dalanistes ahmedi","species","53241","Lutetian","","47.8","41.3","7939"
"300807","occ","","","28975","Rodhocetus kasranii","species","53296","Lutetian","","47.8","41.3","8323"
"300808","occ","","","28976","Indocetus ramani","species","53308","Lutetian","","47.8","41.3","8324"
"300809","occ","","","28977","Ancalecetus simonsi","species","53295","Priabonian","","38","33.9","8325"
"300810","occ","","","28978","Pakicetus inachus","species","53310","Lutetian","","47.8","41.3","8326"
"300812","occ","","","28980","Babiacetus indicus","species","53314","Bartonian","","41.3","38","8327"
"300813","occ","","","28981","Artiocetus clavis","species","53317","Lutetian","","47.8","41.3","8328"
"300814","occ","","","28981","Rodhocetus balochistanensis","species","53318","Lutetian","","47.8","41.3","8328"
"300826","occ","21194","","28983","Basilosaurus cetoides","species","63132","Priabonian","","38","33.9","11980"
"300827","occ","","","28983","Zygorhiza kochii","species","63069","Priabonian","","38","33.9","8335"
"339347","occ","","","32052","Delphinus","genus","36703","Late Pliocene","","3.6","2.588","5595"
"339350","occ","","","32052","Kogia","genus","36744","Late Pliocene","","3.6","2.588","5595"
"348021","occ","","","32899","Basilosaurus isis","species","62984","Priabonian","","38","33.9","8811"
"348022","occ","","","32900","Zygorhiza","genus","36872","Bortonian","","43","37.2","8812"
"348023","occ","15644","","32901","Georgiacetus vogtlensis","species","63123","Lutetian","","47.8","41.3","289"
"348025","occ","","","32902","Basilosaurus cetoides","species","63132","Priabonian","","38","33.9","36758"
"348026","occ","","","32903","Natchitochia jonesi","species","53998","Bartonian","","41.3","38","8815"
"348028","occ","","","32905","Pappocetus lugardi","species","53999","Bartonian","","41.3","38","8817"
"348029","occ","","","32906","Pappocetus lugardi","species","53999","Bartonian","","41.3","38","8818"
"348030","occ","","","32907","Basilosaurus cetoides","species","63132","Priabonian","","38","33.9","8819"
"348031","occ","26299","","32908","Basilosauridae","family","42936","Priabonian","","38","33.9","39153"
"348032","occ","27385","","32908","Basilosauridae","family","42936","Priabonian","","38","33.9","42488"
"348038","occ","","","32915","Basilosauridae","family","42936","Bartonian","","41.3","38","8824"
"348039","occ","27384","","32916","Basilosauridae","family","42936","Priabonian","","38","33.9","42488"
"348040","occ","","","32917","Archaeoceti","suborder","42933","Priabonian","","38","33.9","8825"
"348041","occ","17986","","32918","Cynthiacetus maxwelli","species","63144","Priabonian","","38","33.9","12000"
"348042","occ","","","32919","Archaeoceti","suborder","42933","Priabonian","","38","33.9","8825"
"348043","occ","","","32920","Basilosauridae","family","42936","Priabonian","","38","33.9","8825"
"348044","occ","27547","","32921","Protocetidae","family","42934","Bartonian","","41.3","38","43076"
"348048","occ","","","32925","Basilosaurus cetoides","species","63132","Priabonian","","38","33.9","12024"
"348049","occ","","","32926","Basilosaurus cetoides","species","63132","Priabonian","","38","33.9","8335"
"348397","occ","","","32990","Basilosauridae","family","42936","Priabonian","","38","33.9","8837"
"348399","occ","29573","","32991","Protocetidae","family","42934","Lutetian","","47.8","41.3","49848"
"348400","occ","15677","","32992","Basilosauridae","family","42936","Priabonian","","38","33.9","12845"
"348401","occ","","","32993","Archaeoceti","suborder","42933","Priabonian","","38","33.9","8841"
"348402","occ","","","32994","Archaeoceti","suborder","42933","Priabonian","","38","33.9","6036"
"364216","occ","","","34521","Tranatocetus argillarius","species","69084","Tortonian","","11.62","7.246","9111"
"371205","occ","","","35125","Delphinidae","family","42953","Messinian","","7.246","5.333","9455"
"384481","occ","","","12120","Kampholophos serrulus","species","53143","Serravallian","","13.82","11.62","4176"
"384535","occ","","","28986","Basilosaurus cetoides","species","63132","Priabonian","","38","33.9","8335"
"389852","occ","","","37347","Hadrodelphis calvertense","species","64434","Langhian","","15.97","13.82","10018"
"389853","occ","","","37348","Macrokentriodon morani","species","63627","Serravallian","","13.82","11.62","10019"
"391699","occ","","","37598","Microcetus ambiguus","species","63215","Chattian","","28.1","23.03","36697"
"391724","occ","21700","","37599","Squalodon","genus","36852","Miocene","","23.03","5.333","29775"
"391973","occ","31076","","37602","Chaeomysticeti","infraorder","53254","Chattian","","28.1","23.03","55050"
"395326","occ","","","13079","Cetotheriidae","family","66751","Messinian","","7.246","5.333","12182"
"400874","occ","29218","","28975","Remingtonocetus domandaensis","species","53239","Lutetian","","47.8","41.3","7933"
"400875","occ","","","7299","Basilotritus wardii","species","63151","Bartonian","","41.3","38","8810"
"405530","occ","","","38954","Cetacea","order","36652","Middle Pleistocene","","0.781","0.126","10537"
"405867","occ","12295","","39014","Basilosauridae","family","42936","Bartonian","","41.3","38","10457"
"405868","occ","","","39014","Basilosaurus","genus","36681","Bartonian","","41.3","38","10553"
"418955","occ","","","40693","Delphinus delphis","species","64534","Early Pleistocene","","2.588","0.781","10958"
"440389","occ","","","43029","Andrewsiphius sloani","species","63120","Lutetian","","47.8","41.3","11408"
"440390","occ","","","43029","Cetacea","order","36652","Lutetian","","47.8","41.3","11408"
"440643","occ","","","43063","Prosqualodon australis","species","58388","Early Miocene","","23.03","15.97","11413"
"460810","occ","","","45450","Waipatia maerewhenua","species","62904","Duntroonian","","27.3","25.2","11876"
"460965","occ","","","45452","Pomatodelphis inaequalis","species","62907","Serravallian","","13.82","11.62","2613"
"460966","occ","","","45453","Pomatodelphis inaequalis","species","62907","Serravallian","","13.82","11.62","2613"
"460967","occ","15670","","45454","Pomatodelphis inaequalis","species","62907","Serravallian","","13.82","11.62","2613"
"460968","occ","","","45455","Pomatodelphis inaequalis","species","62907","Serravallian","","13.82","11.62","2613"
"460969","occ","","","45456","Pomatodelphis inaequalis","species","62907","Serravallian","","13.82","11.62","2613"
"460970","occ","","","45456","Odontoceti","suborder","42937","Serravallian","","13.82","11.62","2613"
"460971","occ","","","45457","Pomatodelphis bobengi","species","62924","Serravallian","","13.82","11.62","2613"
"460972","occ","","","45458","Parapontoporia pacifica","species","62910","Messinian","","7.246","5.333","11878"
"460973","occ","","","45458","Piscolithax tedfordi","species","90875","Messinian","","7.246","5.333","11878"
"460974","occ","","","45458","Piscolithax boreios","species","90874","Messinian","","7.246","5.333","11878"
"460975","occ","","","45458","Denebola brachycephala","species","64565","Messinian","","7.246","5.333","11878"
"460976","occ","","","45459","Pomatodelphis bobengi","species","62924","Serravallian","","13.82","11.62","2613"
"460977","occ","","","45460","Praekogia cedrosensis","species","53139","Messinian","","7.246","5.333","11878"
"460978","occ","","","45460","Physeterinae","subfamily","62911","Messinian","","7.246","5.333","11878"
"460979","occ","","","45460","Albireo whistleri","species","64532","Messinian","","7.246","5.333","11878"
"460980","occ","","","18579","Squalodon calvertensis","species","68288","Early Hemingfordian","","20.43","15.97","11874"
"460981","occ","","","18579","Phocageneus venustus","species","62956","Early Hemingfordian","","20.43","15.97","11874"
"460982","occ","","","18579","Zarhachis flagellator","species","63658","Early Hemingfordian","","20.43","15.97","11874"
"460983","occ","15655","","18579","Schizodelphis sulcatus","species","63687","Early Hemingfordian","","20.43","15.97","12196"
"460984","occ","","","18579","Kentriodontidae","family","42938","Early Hemingfordian","","20.43","15.97","11874"
"460985","occ","","","18579","Physeteridae","family","42967","Early Hemingfordian","","20.43","15.97","11874"
"460988","occ","","","45461","Pomatodelphis bobengi","species","62924","Early Clarendonian","","13.6","10.3","2613"
"460989","occ","","","45461","Odontoceti","suborder","42937","Early Clarendonian","","13.6","10.3","2613"
"460990","occ","","","13079","Ninoziphius platyrostris","species","62912","Messinian","","7.246","5.333","11880"
"460991","occ","","","18536","Ziphiidae","family","42951","Early Clarendonian","","13.6","10.3","2613"
"460992","occ","","","45462","Atocetus nasalis","species","64570","Tortonian","","11.62","7.246","11879"
"460993","occ","","","18573","Pontoporiidae","family","42965","Late Hemphillian","","10.3","4.9","2613"
"460994","occ","","","18573","Delphinidae","family","42953","Late Hemphillian","","10.3","4.9","2613"
"460995","occ","","","18573","Odontoceti","suborder","42937","Late Hemphillian","","10.3","4.9","2613"
"460996","occ","","","45463","Atocetus nasalis","species","64570","Late Miocene","","11.608","5.333","11879"
"461047","occ","","","45469","Goniodelphis hudsoni","species","62925","Serravallian","","13.82","11.62","11894"
"461048","occ","13827","","45469","Scaldicetus","genus","36900","Serravallian","","13.82","11.62","2613"
"461049","occ","","","45469","Mysticeti","suborder","42971","Serravallian","","13.82","11.62","12596"
"461050","occ","","","18532","Goniodelphis hudsoni","species","62925","Late Hemphillian","","10.3","4.9","2613"
"461051","occ","","","18532","Ninoziphius platyrostris","species","62912","Late Hemphillian","","10.3","4.9","2613"
"461052","occ","","","18532","Odontoceti","suborder","42937","Late Hemphillian","","10.3","4.9","2613"
"461056","occ","","","18535","Goniodelphis hudsoni","species","62925","Zanclean","","5.333","3.6","2613"
"461057","occ","","","18535","Hadrodelphis","genus","36722","Zanclean","","5.333","3.6","2613"
"461058","occ","","","18535","Mysticeti","suborder","42971","Zanclean","","5.333","3.6","2613"
"461069","occ","","","45474","Scaldicetus","genus","36900","Zanclean","","5.333","3.6","2613"
"461074","occ","","","45476","Scaldicetus","genus","36900","Serravallian","","13.82","11.62","2613"
"461075","occ","","","18505","Kogiopsis floridana","species","62943","Serravallian","","13.82","11.62","11916"
"461082","occ","","","45481","Squaloziphius emlongi","species","62918","Aquitanian","","23.03","20.44","11885"
"461083","occ","","","45482","Lonchodelphis occiduus","species","62919","Late Miocene","","11.608","5.333","11886"
"461084","occ","","","13079","Piscolithax longirostris","species","64568","Messinian","","7.246","5.333","11888"
"461085","occ","","","45455","Pomatodelphis inaequalis","species","62907","Serravallian","","13.82","11.62","11890"
"461086","occ","","","13079","Pliopontos littoralis","species","64567","Messinian","","7.246","5.333","11891"
"461087","occ","","","13079","Odobenocetops peruvianus","species","62923","Messinian","","7.246","5.333","11893"
"461088","occ","","","45457","Pomatodelphis bobengi","species","62924","Serravallian","","13.82","11.62","11892"
