"Delphinus delphis","species","2.588","0.781","10958"
"n. gen. Australodelphis n. sp. mirus","species","5.333","3.6","11903"
"Pseudorca n. sp. yokoyamai","species","1.806","0.781","12274"
"Pseudorca yokoyamai","species","5.333","2.588","12274"
"""Steno"" cudmorei","species","7.246","5.333","23666"
"Tursiops n. sp. miocaenus","species","20.44","15.97","13952"
"""Delphinus"" n. sp. rikuzenensis","species","5.333","3.6","12758"
"Tursiops n. sp. oligodon","species","7.246","5.333","12842"
"Orca citoniensis","species","2.588","1.806","12874"
"Globicephalus uncidens","species","2.588","1.806","12874"
"Tursiops cortesii","species","5.333","2.588","12981"
"Tursiops brocchii","species","5.333","2.588","12981"
"Steno bellardii","species","3.6","1.806","12981"
"Tursiops cortesii","species","5.333","2.588","12981"
"Tursiops n. sp. osennae","species","1.806","0.781","14644"
"cf. Delphinus uncidens","species","13.82","11.62","12984"
"Tursiops cf. miocaenus","species","13.82","11.62","12984"
"Tursiops cortesii","species","5.333","2.588","13332"
"Hemisyntrachelus n. sp. pisanus","species","3.6","2.588","12278"
"Stenella giulii","species","3.6","2.588","15089"
"Steno bellardii","species","3.6","2.588","13332"
"Tursiops cortesii","species","3.6","2.588","13332"
"Globicephala n. sp. etruriae","species","3.6","2.588","13332"
"Orca n. sp. paleorca","species","1.806","0.781","13658"
"n. gen. Astadelphis gastaldii","species","3.6","2.588","12278"
"Astadelphis gastaldii","species","5.333","2.588","46337"
"Stenella giulii","species","5.333","2.588","12278"
"n. gen. Hemisyntrachelus n. sp. cortesii","species","5.333","2.588","12278"
"Orcinus citoniensis","species","5.333","2.588","12278"
"Lagenorhynchus acutus","species","2.588","1.806","14141"
"Delphinus aff. delphis","species","3.6","3","14399"
"Tursiops cortesii","species","23.03","2.588","14545"
"Orca n. sp. citoniensis","species","3.6","2.588","14619"
"Lagenorhynchus obliquidens","species","0.0117","0","14632"
"Delphinus delphis","species","0.0117","0","14632"
"Tursiops truncatus","species","0.0117","0","14632"
"Pseudorca crassidens","species","0.0117","0","14632"
"Globicephala macrorhynchus","species","0.0117","0","14632"
"Grampus griseus","species","0.0117","0","14632"
"Tursiops cortesii","species","5.333","2.588","14642"
"Grampus griseus","species","23.03","2.588","14950"
"Delphinus delphis","species","0.0117","0","14999"
"Tursiops truncatus","species","0.0117","0","14999"
"Tursiops capellinii","species","3.6","2.588","15006"
"Hemisyntrachelus cortesii","species","3.6","2.588","15062"
"Delphinus delphis","species","5.333","2.588","15246"
"n. gen. Arimidelphis n. sp. sorbinii","species","3.6","1.806","15589"
"Globicephalus n. sp. baereckeii","species","1.806","0.781","15425"
"Phocaena n. sp. crassidens","species","0.126","0.0117","12774"
"Tursiops cortesii","species","5.333","2.588","13332"
"Tursiops cf. truncatus","species","2.588","0.0117","18853"
"Delphinus n. sp. karsteni","species","23.03","2.588","18971"
"Tursiops n. sp. capellinii","species","5.333","3.6","19138"
"Orcaella brevirostris","species","0.0117","0","19476"
"Steno bredanensis","species","0.0117","0","19477"
"Stenella longirostris","species","0.0117","0","19477"
"Sotalia guianensis","species","0.0117","0","19478"
"Delphinus delphis","species","2.588","1.806","23350"
"Globicephala macrorhynchus","species","0.126","0.0117","24700"
"Tursiops tursio","species","2.588","0.0117","24709"
"Pseudorca crassidens","species","0.0117","0","25368"
"Tursiops truncatus","species","0.0117","0","25368"
"Stenella n. sp. kabatensis","species","11.608","5.333","14508"
"Orcinus orca","species","5.333","3.6","12148"
"Grampus griseus","species","5.333","3.6","12148"
"Orca paleorca","species","2.588","0.781","12148"
"Pseudorca yokoyamai","species","2.588","0.781","12148"
