"Delphinus delphis","species","Early Pleistocene"
"n. gen. Australodelphis n. sp. mirus","species","Zanclean"
"Pseudorca n. sp. yokoyamai","species","Calabrian"
"Pseudorca yokoyamai","species","Pliocene"
"""Steno"" cudmorei","species","Messinian"
"Tursiops n. sp. miocaenus","species","Burdigalian"
"""Delphinus"" n. sp. rikuzenensis","species","Early Pliocene"
"Tursiops n. sp. oligodon","species","Messinian"
"Orca citoniensis","species","Gelasian"
"Globicephalus uncidens","species","Gelasian"
"Tursiops cortesii","species","Pliocene"
"Tursiops brocchii","species","Pliocene"
"Steno bellardii","species","Piacenzian"
"Tursiops cortesii","species","Pliocene"
"Tursiops n. sp. osennae","species","Calabrian"
"cf. Delphinus uncidens","species","Serravallian"
"Tursiops cf. miocaenus","species","Serravallian"
"Tursiops cortesii","species","Pliocene"
"Hemisyntrachelus n. sp. pisanus","species","Piacenzian"
"Stenella giulii","species","Piacenzian"
"Steno bellardii","species","Piacenzian"
"Tursiops cortesii","species","Piacenzian"
"Globicephala n. sp. etruriae","species","Piacenzian"
"Orca n. sp. paleorca","species","Calabrian"
"n. gen. Astadelphis gastaldii","species","Piacenzian"
"Astadelphis gastaldii","species","Zanclean"
"Stenella giulii","species","Pliocene"
"n. gen. Hemisyntrachelus n. sp. cortesii","species","Pliocene"
"Orcinus citoniensis","species","Pliocene"
"Lagenorhynchus acutus","species","Gelasian"
"Delphinus aff. delphis","species","Waipipian"
"Tursiops cortesii","species","Miocene"
"Orca n. sp. citoniensis","species","Piacenzian"
"Lagenorhynchus obliquidens","species","Holocene"
"Delphinus delphis","species","Holocene"
"Tursiops truncatus","species","Holocene"
"Pseudorca crassidens","species","Holocene"
"Globicephala macrorhynchus","species","Holocene"
"Grampus griseus","species","Holocene"
"Tursiops cortesii","species","Pliocene"
"Grampus griseus","species","Neogene"
"Delphinus delphis","species","Holocene"
"Tursiops truncatus","species","Holocene"
"Tursiops capellinii","species","Piacenzian"
"Hemisyntrachelus cortesii","species","Piacenzian"
"Delphinus delphis","species","Pliocene"
"n. gen. Arimidelphis n. sp. sorbinii","species","Piacenzian"
"Globicephalus n. sp. baereckeii","species","Calabrian"
"Phocaena n. sp. crassidens","species","Late Pleistocene"
"Tursiops cortesii","species","Pliocene"
"Tursiops cf. truncatus","species","Pleistocene"
"Delphinus n. sp. karsteni","species","Neogene"
"Tursiops n. sp. capellinii","species","Zanclean"
"Orcaella brevirostris","species","Holocene"
"Steno bredanensis","species","Holocene"
"Stenella longirostris","species","Holocene"
"Sotalia guianensis","species","Holocene"
"Delphinus delphis","species","Gelasian"
"Globicephala macrorhynchus","species","Late Pleistocene"
