Pinocetus,polonicus
Basiloterus,hussaini
Sachalinocetus,cholmicus
Praekogia,cedrosensis
Aulophyseter,rionegrensis
Microcetus,sharkovi
Mixocetus,elysius
Austrosqualodon,trirhizodonta
Basilosaurus,isis
Dorudon,atrox
Dorudon,atrox
Basilosaurus,drazindai
Basilosaurus,isis
Basilosaurus,isis
Dorudon,atrox
Basilosaurus,isis
Dorudon,atrox
Dorudon,serratus
Basilosaurus,drazindai
Thinocetus,arthritus
Thinocetus,arthritus
Halicetus,ignotus
Balaenoptera,taiwanica
Parietobalaena,palmeri
Neosqualodon,assenzae
Neosqualodon,gastaldii
Squalodon,bariensis
Squalodon,dalpiazi
Andrewsiphius,sloani
Remingtonocetus,domandaensis
Dalanistes,ahmedi
Takracetus,simus
Rodhocetus,kasranii
Gaviacetus,razai
Dalanistes,ahmedi
Rodhocetus,kasranii
Indocetus,ramani
Ancalecetus,simonsi
Pakicetus,inachus
Babiacetus,indicus
Artiocetus,clavis
Rodhocetus,balochistanensis
Basilosaurus,cetoides
Zygorhiza,kochii
Basilosaurus,isis
Georgiacetus,vogtlensis
Basilosaurus,cetoides
Natchitochia,jonesi
Pappocetus,lugardi
Pappocetus,lugardi
Basilosaurus,cetoides
Cynthiacetus,maxwelli
Basilosaurus,cetoides
Basilosaurus,cetoides
Tranatocetus,argillarius
Kampholophos,serrulus
Basilosaurus,cetoides
Hadrodelphis,calvertense
Macrokentriodon,morani
Microcetus,ambiguus
Remingtonocetus,domandaensis
Basilotritus,wardii
Delphinus,delphis
Andrewsiphius,sloani
Prosqualodon,australis
Waipatia,maerewhenua
Pomatodelphis,inaequalis
Pomatodelphis,inaequalis
Pomatodelphis,inaequalis
Pomatodelphis,inaequalis
Pomatodelphis,inaequalis
Pomatodelphis,bobengi
Parapontoporia,pacifica
Piscolithax,tedfordi
Piscolithax,boreios
Denebola,brachycephala
Pomatodelphis,bobengi
Praekogia,cedrosensis
Albireo,whistleri
Squalodon,calvertensis
Phocageneus,venustus
Zarhachis,flagellator
Schizodelphis,sulcatus
Pomatodelphis,bobengi
Ninoziphius,platyrostris
Atocetus,nasalis
Atocetus,nasalis
Goniodelphis,hudsoni
Goniodelphis,hudsoni
Ninoziphius,platyrostris
Goniodelphis,hudsoni
Kogiopsis,floridana
Squaloziphius,emlongi
Lonchodelphis,occiduus
Piscolithax,longirostris
Pomatodelphis,inaequalis
Pliopontos,littoralis
Odobenocetops,peruvianus
Pomatodelphis,bobengi
Albicetus,oxymycterus
Incacetus,broggii
Scaphokogia,cochlearis
Australithax,intermedia
Brachydelphis,mazeasi
Atocetus,iquensis
Belonodelphis,peruanus
Zarhachis,flagellator
Kentriodon,pernix
Xiphiacetus,bossi
Australodelphis,mirus
Idiophyseter,merriami
Cetotherium,furlongi
Aulophyseter,morricei
Parietobalaena,palmeri
Tusciziphius,crispus
Nannocetus,eremus
Xenorophus,sloanii
Pelocetus,calvertensis
Messapicetus,longirostris
Vanbreenia,trigonia
Diorocetus,hiatus
Aglaocetus,patulus
Pelocetus,calvertensis
Hadrodelphis,calvertense
Lophocetus,pappus
Lophocetus,pappus
Phocageneus,venustus
Attockicetus,praecursor
