"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"220170","occ","","","22712","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Piacenzian","","3.6","2.588","5666"
"220758","occ","","","21917","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Holocene","","0.0117","0","5234"
"220776","occ","","","21918","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Holocene","","0.0117","0","5234"
"225773","occ","","","21922","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Holocene","","0.0117","0","5236"
"225890","occ","","","21929","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Pleistocene","","2.588","0.0117","5238"
"226041","occ","","","21952","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Pleistocene","Holocene","2.588","0","5251"
"339347","occ","","","32052","Delphinus sp.","genus","36703","","Delphinus","genus","36703","Late Pliocene","","3.6","2.588","5595"
"371205","occ","","","35125","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Messinian","","7.246","5.333","9455"
"418955","occ","","","40693","Delphinus delphis","species","64534","","Delphinus delphis","species","64534","Early Pleistocene","","2.588","0.781","10958"
"460994","occ","","","18573","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Late Hemphillian","","10.3","4.9","2613"
"461108","occ","","","45494","n. gen. Australodelphis n. sp. mirus","species","62937","","Australodelphis mirus","species","62937","Zanclean","","5.333","3.6","11903"
"462855","occ","","","45667","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Altonian","Opoitian","19","3.6","12038"
"465342","occ","","","46043","Pseudorca n. sp. yokoyamai","species","63804","","Pseudorca yokoyamai","species","63804","Calabrian","","1.806","0.781","12274"
"465343","occ","","","46044","Pseudorca yokoyamai","species","63804","","Pseudorca yokoyamai","species","63804","Pliocene","","5.333","2.588","12274"
"465458","occ","","","46067","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Piacenzian","","3.6","2.588","12280"
"465602","occ","","","46083","cf. Delphinus sp.","genus","36703","","Delphinus","genus","36703","Messinian","","7.246","5.333","16797"
