Genus Species
Kogia breviceps
Kogia sima
Physeter macrocephalus
Platanista gangetica
Delphinapterus leucas
Monodon monoceros
Phocoenoides dalli
Phocoena phocoena
Phocoena spinipinnis
Neophocaena  phocaenoides
Lagenorhynchus acutus
Lagenorhynchus albirostris
Lagenorhynchus obliquidens
Lagenorhynchus obscurus
Cephalorhynchus commersonii
Cephalorhynchus heavisidii
Lissodelphis borealis
Grampus griseus
Pseudorca crassidens
Globicephala macrorhynchus
Globicephala melas
Steno bredanensis
Stenella clymene
Stenella coeruleoalba
Tursiops truncatus
Stenella longirostris
Delphinus delphis
Sotalia fluviatilis
Orcinus orca
Lipotes vexillifer
Pontoporia blainvillei
Inia geoffrensis
Ziphus cavirostris
Mesoplodon densirostris
Mesoplodon europaeus
Mesoplodon mirus
Balaena mysticetus
Balaenoptera physalus
Megaptera novaeangliae
Eschrichtius robustus
Balaenoptera musculus
Balaenoptera borealis
Basilosaurus cetoides
Basilosaurus isis
Dorudon atrox
Saghacetus osiris
Zygorhiza kochii
Rodhocetus kasrani
Dalanistes ahmedi
Kentriodon pernix
Xiphiacetus bossi
Xiphiacetus cristatus
Schizodelphis  morckhoviensis
Genus Y n. sp.
n.gen n. sp. (ChM_PV4961)
n.gen n. sp. (ChM_PV2761)
Simocetus rayi
Xenorophus n. sp.
Orycterocetus crocodilinus
Aulophyseter morricei
Squalodon calvertensis
Squaloziphius emlongi
Choeropsis liberiensis
Hippopotamus  amphibius
